city,state,population,latitude,longitude
Houston,Texas,2195914,29.7604267,-95.3698028
Oxnard,California,203007,34.1975048,-119.17705159999998
Jersey City,New Jersey,257342,40.7281575,-74.0776417
St. Paul,Minnesota,294873,44.9537029,-93.0899578
Anaheim,California,345012,33.8352932,-117.9145036
Santa Ana,California,334227,33.7455731,-117.8678338
St. Petersburg,Florida,249688,27.773056,-82.64
Las Vegas,Nevada,603488,36.1699412,-115.13982959999998
El Paso,Texas,674433,31.7775757,-106.4424559
Louisville,Kentucky,609893,38.2526647,-85.7584557
Bakersfield,California,363630,35.3732921,-119.0187125
Miami,Florida,417650,25.7616798,-80.1917902
Des Moines,Iowa,207510,41.6005448,-93.6091064
Milwaukee,Wisconsin,599164,43.0389025,-87.9064736
Richmond,Virginia,214114,37.5407246,-77.4360481
Lexington-Fayette,Kentucky,308428,38.040583700000006,-84.50371640000002
Honolulu,Hawaii,347884,21.3069444,-157.8583333
San Jose,California,998537,37.3382082,-121.88632859999998
Irvine,California,236716,33.6839473,-117.7946942
Virginia Beach,Virginia,448479,36.8529263,-75.977985
Fresno,California,509924,36.7468422,-119.7725868
Winston-Salem,North Carolina,236441,36.0998596,-80.24421600000001
Hialeah,Florida,233394,25.8575963,-80.2781057
Plano,Texas,274409,33.0198431,-96.6988856
Baltimore,Maryland,622104,39.2903848,-76.6121893
Tacoma,Washington,203446,47.2528768,-122.4442906
New York,New York,8405837,40.7127837,-74.00594129999999
Fort Worth,Texas,792727,32.7554883,-97.3307658
Madison,Wisconsin,243344,43.07305170000001,-89.4012302
Arlington,Texas,379577,32.735687,-97.1080656
Baton Rouge,Louisiana,229426,30.4582829,-91.1403196
Los Angeles,California,3884307,34.0522342,-118.24368490000002
Pittsburgh,Pennsylvania,305841,40.4406248,-79.9958864
Phoenix,Arizona,1513367,33.4483771,-112.0740373
Corpus Christi,Texas,316381,27.8005828,-97.396381
Glendale,Arizona,234632,33.538652299999995,-112.1859866
